Geography,Estimate; Median value (dollars),Year
Rockingham,196200,2012
Russell,89800,2012
Scott,90500,2012
Shenandoah,213100,2012
Smyth,91900,2012
Southampton,148700,2012
Spotsylvania,264600,2012
Stafford,309300,2012
Surry,173600,2012
Sussex,128500,2012
Tazewell,85600,2012
Warren,231700,2012
Washington,133800,2012
Westmoreland,179000,2012
Wise,82400,2012
Wythe,111700,2012
York,324200,2012
Alexandria city,475900,2012
Bristol city,102800,2012
Buena Vista city,121100,2012
Charlottesville city,286400,2012
Chesapeake city,267700,2012
Colonial Heights city,190200,2012
Covington city,65600,2012
Danville city,89500,2012
Emporia city,95500,2012
Fairfax city,465100,2012
Falls Church city,645600,2012
Franklin city,195400,2012
Fredericksburg city,323600,2012
Galax city,107000,2012
Hampton city,197300,2012
Harrisonburg city,215400,2012
Hopewell city,141600,2012
Lexington city,271000,2012
Lynchburg city,147100,2012
Manassas city,247100,2012
Manassas Park city,233100,2012
Martinsville city,88300,2012
Newport News city,205800,2012
Norfolk city,210100,2012
Norton city,86400,2012
Petersburg city,120700,2012
Poquoson city,316000,2012
Portsmouth city,183600,2012
Radford city,139200,2012
Richmond city,198500,2012
Roanoke city,134300,2012
Salem city,170400,2012
Staunton city,171900,2012
Suffolk city,248900,2012
Virginia Beach city,272700,2012
Waynesboro city,166800,2012
Williamsburg city,326200,2012
Winchester city,241900,2012
Accomack,153600,2013
Albemarle,319200,2013
Alleghany,114600,2013
Amelia,180700,2013
Amherst,148700,2013
Appomattox,145400,2013
Arlington,584600,2013
Augusta,194600,2013
Bath,152600,2013
Bedford,170900,2013
Bland,95200,2013
Botetourt,213100,2013
Brunswick,105600,2013
Buchanan,68200,2013
Buckingham,128800,2013
Campbell,150300,2013
Caroline,188400,2013
Carroll,102900,2013
Charles City,147500,2013
Charlotte,98900,2013
Chesterfield,226500,2013
Clarke,342500,2013
Craig,136500,2013
Culpeper,250600,2013
Cumberland,142400,2013
Dickenson,75700,2013
Dinwiddie,165300,2013
Essex,160800,2013
Fairfax,476600,2013
Fauquier,350600,2013
Floyd,144700,2013
Fluvanna,225700,2013
Franklin,163700,2013
Frederick,226900,2013
Giles,105300,2013
Gloucester,228700,2013
Goochland,338500,2013
Grayson,97900,2013
Greene,237500,2013
Greensville,99600,2013
Halifax,106600,2013
Hanover,262000,2013
Henrico,219900,2013
Henry,94600,2013
Highland,171700,2013
Isle of Wight,249600,2013
James City,327100,2013
King and Queen,154200,2013
King George,278900,2013
King William,199700,2013
Lancaster,233400,2013
Lee,74300,2013
Loudoun,437700,2013
Louisa,197700,2013
Lunenburg,100400,2013
Madison,240900,2013
Mathews,238500,2013
Mecklenburg,120900,2013
Middlesex,247100,2013
Montgomery,200200,2013
Nelson,192900,2013
New Kent,253700,2013
Northampton,168800,2013
Northumberland,239000,2013
Nottoway,137600,2013
Orange,230500,2013
Page,180200,2013
Patrick,110500,2013
Pittsylvania,109600,2013
Powhatan,269700,2013
Prince Edward,153400,2013
Prince George,199600,2013
Prince William,321400,2013
Pulaski,133900,2013
Rappahannock,394800,2013
Richmond,155700,2013
Roanoke,193700,2013
Rockbridge,179500,2013
Rockingham,195300,2013
Russell,91100,2013
Scott,91000,2013
Shenandoah,205300,2013
Smyth,91200,2013
Southampton,150000,2013
Spotsylvania,249100,2013
Stafford,299300,2013
Surry,161600,2013
Sussex,118000,2013
Tazewell,88000,2013
Warren,219000,2013
Washington,131500,2013
Westmoreland,180900,2013
Wise,83900,2013
Wythe,112100,2013
York,316800,2013
Alexandria city,476700,2013
Bristol city,110800,2013
Buena Vista city,118900,2013
