Geography,Year,EmploymentPopulationRatio
Amelia,2012,52.7
Amherst,2012,57.4
Appomattox,2012,55.5
Arlington,2012,74.9
Augusta,2012,56.9
Bath,2012,62.4
Bedford,2012,59.6
Bland,2012,44.7
Botetourt,2012,62.4
Brunswick,2012,42.6
Buchanan,2012,36.1
Buckingham,2012,37.5
Campbell,2012,57.5
Caroline,2012,58.0
Carroll,2012,51.3
Charles City,2012,55.3
Charlotte,2012,51.1
Chesterfield,2012,64.4
Clarke,2012,62.5
Craig,2012,59.6
Culpeper,2012,60.0
Cumberland,2012,54.6
Dickenson,2012,39.6
Dinwiddie,2012,53.9
Essex,2012,56.8
Fairfax,2012,68.9
Fauquier,2012,65.8
Floyd,2012,58.4
Fluvanna,2012,57.8
Franklin,2012,53.5
Frederick,2012,64.0
Giles,2012,53.5
Gloucester,2012,59.5
Goochland,2012,53.0
Grayson,2012,49.1
Greene,2012,64.0
Greensville,2012,34.6
Halifax,2012,48.5
Hanover,2012,65.3
Henrico,2012,65.0
Henry,2012,49.7
Highland,2012,53.4
Isle of Wight,2012,59.8
James City,2012,55.8
King and Queen,2012,58.7
King George,2012,61.4
King William,2012,62.6
Lancaster,2012,51.2
Lee,2012,40.5
Loudoun,2012,73.6
Louisa,2012,59.7
Lunenburg,2012,42.8
Madison,2012,58.6
Mathews,2012,50.4
Mecklenburg,2012,45.5
Middlesex,2012,49.0
Montgomery,2012,55.8
Nelson,2012,55.3
New Kent,2012,63.4
Northampton,2012,51.5
Northumberland,2012,50.0
Nottoway,2012,48.9
Orange,2012,54.2
Page,2012,54.2
Patrick,2012,47.4
Pittsylvania,2012,54.7
Powhatan,2012,54.2
Prince Edward,2012,45.0
Prince George,2012,44.2
Prince William,2012,68.9
Pulaski,2012,51.4
Rappahannock,2012,57.0
Richmond,2012,43.9
Roanoke,2012,62.5
Rockbridge,2012,53.4
Rockingham,2012,61.4
Russell,2012,46.1
Scott,2012,47.2
Shenandoah,2012,58.8
Smyth,2012,49.4
Southampton,2012,52.9
Spotsylvania,2012,63.7
Stafford,2012,62.4
Surry,2012,58.8
Sussex,2012,39.7
Tazewell,2012,46.6
Warren,2012,63.2
Washington,2012,54.4
Westmoreland,2012,51.2
Wise,2012,43.0
Wythe,2012,55.2
York,2012,58.0
Alexandria city,2012,72.8
Bedford city,2012,56.7
Bristol city,2012,48.0
Buena Vista city,2012,57.5
Charlottesville city,2012,56.1
Chesapeake city,2012,61.6
Colonial Heights city,2012,58.5
Covington city,2012,50.8
Danville city,2012,47.9
Emporia city,2012,44.1
Fairfax city,2012,64.4
Falls Church city,2012,71.1
Franklin city,2012,48.2
Fredericksburg city,2012,57.3
Galax city,2012,49.2
Hampton city,2012,55.1
Harrisonburg city,2012,48.8
Hopewell city,2012,47.1
Lexington city,2012,33.4
Lynchburg city,2012,52.3
Manassas city,2012,67.9
Manassas Park city,2012,72.2
Martinsville city,2012,45.1
Newport News city,2012,58.8
Norfolk city,2012,52.1
Norton city,2012,57.6
Petersburg city,2012,45.3
Poquoson city,2012,61.0
Portsmouth city,2012,54.4
Radford city,2012,45.5
Richmond city,2012,57.6
Roanoke city,2012,58.0
Salem city,2012,55.2
Staunton city,2012,56.7
Suffolk city,2012,59.2
Virginia Beach city,2012,60.3
Waynesboro city,2012,56.1
Williamsburg city,2012,43.7
Winchester city,2012,60.4
Accomack,2013,54.1
Albemarle,2013,57.2
Alleghany,2013,51.7
Amelia,2013,53.7
Amherst,2013,56.1
Appomattox,2013,53.9
Arlington,2013,74.4
Augusta,2013,55.9
Bath,2013,63.3
Bedford,2013,59.1
Bland,2013,42.6
Botetourt,2013,60.4
Brunswick,2013,42.5
Buchanan,2013,36.2
Buckingham,2013,39.3
Campbell,2013,56.6
Caroline,2013,57.3
Carroll,2013,51.2
Charles City,2013,55.9
Charlotte,2013,51.0
Chesterfield,2013,63.7
Clarke,2013,62.1
Craig,2013,55.2
Culpeper,2013,59.1
Cumberland,2013,53.6
Dickenson,2013,39.1
Dinwiddie,2013,53.9
Essex,2013,56.9
Fairfax,2013,68.5
Fauquier,2013,64.3
Floyd,2013,57.8
Fluvanna,2013,57.4
Franklin,2013,53.1
Frederick,2013,62.5
Giles,2013,53.5
Gloucester,2013,59.2
Goochland,2013,53.7
Grayson,2013,47.5
Greene,2013,60.0
Greensville,2013,35.3
Halifax,2013,48.7
Hanover,2013,64.5
Henrico,2013,64.6
Henry,2013,48.8
Highland,2013,52.7
Isle of Wight,2013,59.6
James City,2013,54.4
King and Queen,2013,58.4
King George,2013,61.5
King William,2013,63.9
Lancaster,2013,49.2
Lee,2013,38.9
Loudoun,2013,73.1
Louisa,2013,58.7
Lunenburg,2013,42.8
Madison,2013,59.6
Mathews,2013,51.1
Mecklenburg,2013,46.3
Middlesex,2013,48.3
Montgomery,2013,54.7
Nelson,2013,52.7
New Kent,2013,63.4
Northampton,2013,49.1
Northumberland,2013,48.0
Nottoway,2013,46.6
Orange,2013,53.7
Page,2013,52.2
Patrick,2013,45.9
Pittsylvania,2013,53.3
Powhatan,2013,54.4
Prince Edward,2013,45.5
Prince George,2013,44.9
Prince William,2013,68.5
Pulaski,2013,52.6
Rappahannock,2013,58.3
Richmond,2013,40.6
Roanoke,2013,60.8
Rockbridge,2013,53.4
Rockingham,2013,61.2
Russell,2013,45.3
Scott,2013,46.3
Shenandoah,2013,58.1
Smyth,2013,50.6
Southampton,2013,53.9
Spotsylvania,2013,63.0
Stafford,2013,61.8
Surry,2013,57.6
Sussex,2013,34.1
Tazewell,2013,46.1
Warren,2013,62.3
Washington,2013,54.1
Westmoreland,2013,50.9
Wise,2013,42.8
Wythe,2013,55.1
York,2013,57.2
Alexandria city,2013,73.2
Bedford city,2013,51.9
Bristol city,2013,48.8
Buena Vista city,2013,57.2
Charlottesville city,2013,55.8
Chesapeake city,2013,60.0
Colonial Heights city,2013,56.4
Covington city,2013,49.0
Danville city,2013,47.8
Emporia city,2013,46.9
Fairfax city,2013,65.5
Falls Church city,2013,74.0
Franklin city,2013,48.8
Fredericksburg city,2013,57.6
Galax city,2013,49.9
Hampton city,2013,54.6
Harrisonburg city,2013,50.9
Hopewell city,2013,50.0
Lexington city,2013,32.0
Lynchburg city,2013,51.7
Manassas city,2013,68.4
Manassas Park city,2013,70.5
Martinsville city,2013,44.7
Newport News city,2013,58.0
Norfolk city,2013,51.6
Norton city,2013,55.9
Petersburg city,2013,45.2
Poquoson city,2013,60.3
Portsmouth city,2013,54.1
Radford city,2013,49.0
Richmond city,2013,57.0
Roanoke city,2013,57.5
Salem city,2013,57.0
Staunton city,2013,54.9
Suffolk city,2013,58.4
Virginia Beach city,2013,60.5
Waynesboro city,2013,55.6
Williamsburg city,2013,45.0
Winchester city,2013,59.0
Accomack,2014,53.6
Albemarle,2014,56.8
Alleghany,2014,50.7
Amelia,2014,54.5
Amherst,2014,55.9
Appomattox,2014,52.3
Arlington,2014,74.3
Augusta,2014,56.9
Bath,2014,59.3
Bedford,2014,57.8
Bland,2014,43.3
Botetourt,2014,59.6
Brunswick,2014,44.9
Buchanan,2014,36.4
Buckingham,2014,42.9
Campbell,2014,56.8
Caroline,2014,56.4
Carroll,2014,51.0
Charles City,2014,53.3
Charlotte,2014,50.4
Chesterfield,2014,63.5
Clarke,2014,60.6
Craig,2014,54.9
Culpeper,2014,59.6
Cumberland,2014,55.7
Dickenson,2014,38.6
Dinwiddie,2014,54.5
Essex,2014,56.3
Fairfax,2014,68.2
Fauquier,2014,64.9
Floyd,2014,58.9
Fluvanna,2014,56.6
Franklin,2014,54.1
Frederick,2014,62.9
Giles,2014,53.8
Gloucester,2014,57.9
Goochland,2014,56.7
Grayson,2014,46.3
Greene,2014,59.6
Greensville,2014,35.6
Halifax,2014,49.1
Hanover,2014,64.3
Henrico,2014,64.5
Henry,2014,48.8
Highland,2014,52.2
Isle of Wight,2014,59.3
James City,2014,54.7
King and Queen,2014,58.5
King George,2014,64.2
King William,2014,64.2
Lancaster,2014,49.2
Lee,2014,37.4
Loudoun,2014,72.7
Louisa,2014,59.0
Lunenburg,2014,44.1
Madison,2014,58.0
Mathews,2014,51.4
Mecklenburg,2014,47.4
Middlesex,2014,47.7
Montgomery,2014,54.5
Nelson,2014,54.4
New Kent,2014,63.6
Northampton,2014,49.1
Northumberland,2014,47.0
Nottoway,2014,45.2
Orange,2014,53.9
Page,2014,51.9
Patrick,2014,44.7
Pittsylvania,2014,53.6
Powhatan,2014,56.8
Prince Edward,2014,43.4
Prince George,2014,46.6
Prince William,2014,68.7
Pulaski,2014,53.6
Rappahannock,2014,56.5
Richmond,2014,39.0
Roanoke,2014,60.0
Rockbridge,2014,53.0
Rockingham,2014,61.0
Russell,2014,44.0
Scott,2014,46.3
Shenandoah,2014,57.4
Smyth,2014,50.5
Southampton,2014,55.9
Spotsylvania,2014,63.2
Stafford,2014,62.0
Surry,2014,56.1
Sussex,2014,28.0
Tazewell,2014,45.6
Warren,2014,61.6
Washington,2014,53.6
Westmoreland,2014,51.2
Wise,2014,42.4
Wythe,2014,53.5
York,2014,57.4
Alexandria city,2014,73.9
Bristol city,2014,50.7
Buena Vista city,2014,53.7
Charlottesville city,2014,58.6
Chesapeake city,2014,59.2
Colonial Heights city,2014,56.4
Covington city,2014,49.1
Danville city,2014,47.5
Emporia city,2014,45.3
Fairfax city,2014,65.3
Falls Church city,2014,72.7
Franklin city,2014,49.4
Fredericksburg city,2014,57.3
Galax city,2014,51.5
Hampton city,2014,54.7
Harrisonburg city,2014,53.7
Hopewell city,2014,52.2
Lexington city,2014,31.9
Lynchburg city,2014,52.6
Manassas city,2014,69.0
Manassas Park city,2014,69.0
Martinsville city,2014,44.8
Newport News city,2014,57.8
Norfolk city,2014,51.0
Norton city,2014,54.6
Petersburg city,2014,46.1
Poquoson city,2014,60.0
Portsmouth city,2014,53.9
Radford city,2014,45.0
Richmond city,2014,58.0
Roanoke city,2014,58.3
Salem city,2014,59.1
Staunton city,2014,56.4
Suffolk city,2014,59.5
Virginia Beach city,2014,60.6
Waynesboro city,2014,55.7
Williamsburg city,2014,46.2
Winchester city,2014,58.6
Accomack,2015,53.1
Albemarle,2015,57.6
Alleghany,2015,49.2
Amelia,2015,55.1
Amherst,2015,55.2
Appomattox,2015,53.3
Arlington,2015,74.4
Augusta,2015,56.2
Bath,2015,60.7
Bedford,2015,57.5
Bland,2015,43.8
Botetourt,2015,59.9
Brunswick,2015,46.0
Buchanan,2015,35.9
Buckingham,2015,45.6
Campbell,2015,58.0
Caroline,2015,57.9
Carroll,2015,52.8
Charles City,2015,54.6
Charlotte,2015,52.7
Chesterfield,2015,64.2
Clarke,2015,59.0
Craig,2015,51.4
Culpeper,2015,59.0
Cumberland,2015,56.7
Dickenson,2015,39.7
Dinwiddie,2015,55.3
Essex,2015,57.0
Fairfax,2015,68.1
Fauquier,2015,64.8
Floyd,2015,59.5
Fluvanna,2015,57.4
Franklin,2015,54.0
Frederick,2015,63.9
Giles,2015,54.7
Gloucester,2015,57.8
Goochland,2015,57.3
Grayson,2015,47.6
Greene,2015,60.0
Greensville,2015,33.5
Halifax,2015,49.4
Hanover,2015,65.1
Henrico,2015,65.4
Henry,2015,49.9
Highland,2015,51.3
Isle of Wight,2015,59.4
James City,2015,54.7
King and Queen,2015,57.0
King George,2015,63.6
King William,2015,63.0
Lancaster,2015,48.6
Lee,2015,37.9
Loudoun,2015,72.6
Louisa,2015,58.3
Lunenburg,2015,43.8
Madison,2015,55.9
Mathews,2015,51.1
Mecklenburg,2015,47.6
Middlesex,2015,47.5
Montgomery,2015,55.0
Nelson,2015,54.4
New Kent,2015,62.8
Northampton,2015,48.1
Northumberland,2015,47.2
Nottoway,2015,43.8
Orange,2015,53.8
Page,2015,52.8
Patrick,2015,45.0
Pittsylvania,2015,53.9
Powhatan,2015,56.6
Prince Edward,2015,44.4
Prince George,2015,47.4
Prince William,2015,68.5
Pulaski,2015,53.6
Rappahannock,2015,57.0
